mass_Z_1,mass_Z_2,mass_H,type_1_1,px_1_1,py_1_1,pz_1_1,energy_1_1,charge_1_1,isolation_1_1,sip3d_1_1,type_1_2,px_1_2,py_1_2,pz_1_2,energy_1_2,charge_1_2,isolation_1_2,sip3d_1_2,type_2_1,px_2_1,py_2_1,pz_2_1,energy_2_1,charge_2_1,isolation_2_1,sip3d_2_1,type_2_2,px_2_2,py_2_2,pz_2_2,energy_2_2,charge_2_2,isolation_2_2,sip3d_2_2
93.05838443492385,17.897948664090165,122.83884541040837,ELECTRON,-24.52552129601917,47.40545368247708,-0.9142971054437083,53.38177753578455,-1.0,0.03518860414624214,3.022559251235438,ELECTRON,37.45551102221427,-16.627135266615372,-27.97369919431293,49.61758538787879,1.0,0.022089138627052307,1.0623197769412835,MUON,23.38339449434029,-7.79466994803031,-0.24115120899059944,24.64950651802726,-1.0,0.08785979449748993,0.8371632514353601,MUON,-1.673009906571365,-3.0227386026571383,-4.79940063170786,5.9135570709275616,1.0,1.8914250135421753,1.0
84.82370752904451,26.98258688593888,118.70170961931217,ELECTRON,18.020552220582953,-7.625805961077596,49.65629422771855,53.372659436461646,1.0,1.8234862089157104,6.466549137438941,ELECTRON,-16.98034228288535,-10.643502131521185,-29.546884900907344,35.70202471870617,-1.0,1.3879330158233643,8.492646474450199,ELECTRON,8.157666083707511,20.231031599040413,3.0338584000671194,22.023770165126166,-1.0,3.9876837730407715,5.9382468186084525,ELECTRON,-9.485896292310528,-3.251951226339794,2.818314942619519,10.41634841788407,1.0,1.6994770765304565,7.444805086281209
3.7382201423500483,0.24592041888976227,63.83503547196892,ELECTRON,18.316784137186566,-23.271774508646413,-19.892854901559705,35.67640321058279,-1.0,0.9401602149009705,6.7780384520031225,ELECTRON,11.805938250861521,-16.060586308332734,-9.921179322088115,22.265498190958784,1.0,1.3618837594985962,11.306184281279965,ELECTRON,1.0626489279143254,15.36441890736473,-9.363654343892891,18.024222972902006,-1.0,2.223195791244507,0.23285258971635547,ELECTRON,0.37022345325903294,7.904824359618859,-4.8209067206880345,9.266307526266425,1.0,4.549519062042236,0.5959522291791548
39.1562686062675,21.159812947716375,74.78046162678328,ELECTRON,-8.726610395275822,26.216359118811095,-75.90338930160107,80.77608384854896,-1.0,0.715774655342102,0.6457850514071335,ELECTRON,9.595592349037798,9.469001676213225,-2.2837565873841816,13.673073152128683,1.0,2.327333450317383,0.465255888873882,ELECTRON,-1.0134274062293203,5.558485330145875,-10.344031825059764,11.786551177973683,1.0,4.278820991516113,7.723870514327734,ELECTRON,-1.240893976377209,-9.72639681789677,4.325740001642316,10.717025682604765,-1.0,8.849984169006348,8.063585426091572
18.367951925727954,13.684320387607983,35.454331242153756,ELECTRON,0.5260348133696391,-8.96995182458365,-6.178711514025498,10.904734033151824,1.0,0.39321595430374146,203.63050321121918,ELECTRON,-5.432299115433068,7.789409912456415,-1.4139693868083278,9.601254599823935,-1.0,0.21894878149032593,0.8506781154486162,ELECTRON,-0.03962907282079369,5.024167174951535,-6.696703605339229,8.371957085594536,1.0,0.7489884495735168,86.68595166352748,ELECTRON,4.37694689927198,3.2048953051382436,6.128268212320305,8.184417472128317,-1.0,10.545883178710938,1.301329467294244
94.66634665448181,7.9450340484454856,162.00604702405766,ELECTRON,-29.027235055378306,-63.24144244893429,289.3385587099557,297.5884103494901,-1.0,0.1498580127954483,3.0669116561810306,ELECTRON,0.5260348133696391,-8.96995182458365,-6.178711514025498,10.904734033151824,1.0,0.39321595430374146,203.63050321121918,ELECTRON,-5.432299115433068,7.789409912456415,-1.4139693868083278,9.601254599823935,-1.0,0.21894878149032593,0.8506781154486162,ELECTRON,-0.03962907282079369,5.024167174951535,-6.696703605339229,8.371957085594536,1.0,0.7489884495735168,86.68595166352748
94.66634665448181,13.684320387607983,145.33289972846066,ELECTRON,-29.027235055378306,-63.24144244893429,289.3385587099557,297.5884103494901,-1.0,0.1498580127954483,3.0669116561810306,ELECTRON,0.5260348133696391,-8.96995182458365,-6.178711514025498,10.904734033151824,1.0,0.39321595430374146,203.63050321121918,ELECTRON,-0.03962907282079369,5.024167174951535,-6.696703605339229,8.371957085594536,1.0,0.7489884495735168,86.68595166352748,ELECTRON,4.37694689927198,3.2048953051382436,6.128268212320305,8.184417472128317,-1.0,10.545883178710938,1.301329467294244
54.708144615045406,31.104271492372543,91.81083240550724,ELECTRON,-24.170552553627964,17.388086575294796,-3.788292867757236,30.01520162100429,1.0,0.8044502139091492,4.060302816318507,ELECTRON,21.50920372529467,-12.00678439215029,4.408423774435402,25.024845983758247,-1.0,2.494638442993164,5.611878644706201,ELECTRON,1.58666825800844,-11.070629459962742,-18.64384373055348,21.740958163109205,1.0,0.5487881898880005,0.2934936176404607,ELECTRON,-14.700129139197681,11.56729342545711,-4.650202537801065,19.274865953938136,-1.0,1.3103365898132324,1.1278341921844153
43.12899613318886,1.1643538098082291,62.165624767672924,ELECTRON,28.454548426711067,26.72087132349266,8.071679430926071,39.8599836840199,-1.0,0.03240528330206871,0.5417585381090357,ELECTRON,-12.698857028680903,7.035231379431624,17.127543649718298,22.45235403849724,1.0,0.5804375410079956,1060.6205754759903,ELECTRON,11.402999103046321,0.6066270524087625,-3.3970375731278755,11.91370006328982,1.0,0.37171870470046997,689.6631184973666,ELECTRON,6.051639304994066,-0.48174207182573436,-2.091330029988329,6.420909203208453,-1.0,0.9468761086463928,1310.051506156681
41.16799074270095,1.6619924136227957,56.593639118082685,ELECTRON,27.547250255657776,-4.174037552025118,34.604153419261685,44.426580106928704,1.0,1.9451014995574951,1.1053948311055315,ELECTRON,-15.008929073100909,-0.9335503138570844,26.793360985552567,30.72496803923491,-1.0,3.498188018798828,14.704014573457675,ELECTRON,14.551631906779065,-2.0405303552640115,22.440312053273043,26.823149709335325,-1.0,3.604708194732666,0.6605511498719245,ELECTRON,9.991294838820068,-2.235557927669501,13.692080631397253,17.096688680001233,1.0,5.286640167236328,15.341100715898033
